
sample ID, execution time, extra probe , dut probe
105 ,52975 ,0.40092,2.00462
106 ,53480 ,0.56958,2.84791
107 ,53984 ,0.45176,2.25879
108 ,54488 ,0.39389,1.96943
109 ,54996 ,0.44622,2.23112
110 ,55500 ,0.34927,1.74637
111 ,56005 ,0.37964,1.89819
112 ,56509 ,0.51925,2.59624

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.23151,1.15757
2 ,1009 ,0.31716,1.58579
3 ,1513 ,0.37576,1.87878
4 ,2017 ,0.40513,2.02564
5 ,2522 ,0.36116,1.80579
6 ,3027 ,0.27603,1.38013
7 ,3531 ,0.22194,1.10968
8 ,4035 ,0.25693,1.28466
9 ,4539 ,0.35328,1.76640
10 ,5043 ,0.56758,2.83790
11 ,5547 ,0.56395,2.81974
12 ,6051 ,0.49508,2.47541
13 ,6555 ,0.44406,2.22029
14 ,7062 ,0.43273,2.16363
15 ,7567 ,0.41812,2.09059
16 ,8071 ,0.36909,1.84545
17 ,8575 ,0.39685,1.98427
18 ,9079 ,0.57021,2.85104
19 ,9583 ,0.54736,2.73678
20 ,10087 ,0.67357,3.36785
21 ,10591 ,0.53023,2.65115
22 ,11097 ,0.38233,1.91165
23 ,11602 ,0.44466,2.22332
24 ,12106 ,0.44806,2.24032
25 ,12610 ,0.34733,1.73666
26 ,13114 ,0.34596,1.72978
27 ,13618 ,0.39663,1.98317
28 ,14122 ,0.72422,3.62108
29 ,14626 ,0.68071,3.40353
30 ,15130 ,0.65422,3.27112
31 ,15635 ,0.76801,3.84003
32 ,16141 ,0.79286,3.96432
33 ,16646 ,0.78537,3.92684
34 ,17151 ,0.76469,3.82347
35 ,17655 ,0.81660,4.08298
36 ,18159 ,0.78920,3.94600
37 ,18664 ,0.82621,4.13107
38 ,19168 ,0.75920,3.79599
39 ,19674 ,0.82000,4.09999
40 ,20179 ,0.67007,3.35036
41 ,20683 ,0.63820,3.19099
42 ,21187 ,0.51731,2.58653
43 ,21691 ,0.51061,2.55304
44 ,22195 ,0.57226,2.86132
45 ,22699 ,0.57215,2.86074
46 ,23203 ,0.45107,2.25535
47 ,23707 ,0.37920,1.89600
48 ,24211 ,0.41413,2.07066
49 ,24716 ,0.33880,1.69399
50 ,25221 ,0.48176,2.40882
51 ,25728 ,0.44781,2.23907
52 ,26232 ,0.44268,2.21341
53 ,26736 ,0.36705,1.83527
54 ,27240 ,0.37864,1.89318
55 ,27745 ,0.48139,2.40694
56 ,28250 ,0.47246,2.36229
57 ,28754 ,0.37162,1.85812
58 ,29258 ,0.58417,2.92084
59 ,29762 ,0.34295,1.71475
